# https://www.cs.virginia.edu/stream/by_date/Balance.html
# Balance is Peak MFLOPS divided by Triad Bandwidth in MW/s
# ------------------------------------------------------------------------------
# Submission  System                                   Peak       BW     Machine
# Date        Machine ID                      ncpus   MFLOPS    (MW/s)   Balance
# ------------------------------------------------------------------------------
2006.03.21  HP_Integrity_rx8640                8    51200.0   2033.9     25.2 data
2006.03.21  HP_Integrity_rx8640               16   102400.0   4059.0     25.2 data
2006.03.21  HP_Integrity_rx7640                8    51200.0   2034.9     25.2 data
2006.03.21  HP_Integrity_rx7640                4    25600.0   1017.8     25.2 data
2006.03.21  HP_Integrity_SuperDome            64   409600.0  16085.8     25.5 data
2006.03.21  HP_Integrity_SuperDome            32   204800.0   8089.4     25.3 data
2006.03.21  HP_Integrity_SuperDome            16   102400.0   4050.9     25.3 data
2006.03.15  MSI_K8n_Neo2_Athlon64              1     4420.0    374.6     11.8 data
2006.02.12  IBM_System_p5_560Q                16    96000.0   4869.2     19.7 data
2006.02.12  IBM_System_p5_560Q                16    96000.0   5097.1     18.8 data
2006.02.12  IBM_System_p5-575                  8    70400.0  12040.9      5.8 data
2006.02.12  IBM_System_p5-575                  8    70400.0  12565.4      5.6 data
2006.02.12  IBM_System_p5-575                 16   121600.0  10757.8     11.3 data
2006.02.12  IBM_System_p5-575                 16   121600.0  10797.4     11.3 data
2006.02.08  IBM_BladeCenter_JS21               2    21600.0    815.1     26.5 data
2005.10.03  IBM_System_p5-550Q                 8    48000.0   2344.5     20.5 data
2005.10.03  IBM_System_p5-550Q                 8    48000.0   2166.4     22.2 data
2005.10.03  IBM_System_p5-550                  4    30400.0   2550.4     11.9 data
2005.10.03  IBM_System_p5-550                  4    30400.0   2380.5     12.8 data
2005.10.03  IBM_System_p5-520                  2    15200.0   1289.9     11.8 data
2005.10.03  IBM_System_p5-520                  2    15200.0   1209.0     12.6 data
2005.10.03  IBM_System_p5-505                  2    13200.0   1126.5     11.7 data
2005.10.03  IBM_System_p5-505                  2    13200.0    956.6     13.8 data
2005.09.28  HP_ProLiant_DL585                  4    22400.0   2298.4      9.7 data
2005.09.28  HP_ProLiant_DL385                  2    11200.0   1215.1      9.2 data
2005.09.28  HP_ProLiant_BL45p                  4    22400.0   2336.2      9.6 data
2005.09.28  HP_ProLiant_BL25p                  2    11200.0   1187.4      9.4 data
2005.09.28  HP_ProLiant_DL585                  8    38400.0   2063.5     18.6 data
2005.09.28  HP_ProLiant_BL45p                  8    38400.0   2223.2     17.3 data
2005.09.28  HP_ProLiant_DL380_G4               1     7600.0    506.2     15.0 data
2005.09.28  HP_ProLiant_DL360_G4p              1     7600.0    505.8     15.0 data
